fold;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
1;0.025;2.0;0.6354568854568855;0.6700434153400868;0.10967659950256348;0.09974503517150879;NA
2;0.025;2;0.6406048906048907;0.6237337192474675;0.10005807876586914;0.08924198150634766;[(-1,), (1,)]
3;0.025;2.0;0.6435006435006435;0.597684515195369;0.10770344734191895;0.09718036651611328;NA
4;0.025;2.0;0.6377091377091377;0.6497829232995659;0.11440682411193848;0.10254383087158203;NA
5;0.025;2.0;0.638996138996139;0.638205499276411;0.09810733795166016;0.08788752555847168;NA
6;0.025;2.0;0.6394787644787645;0.6338639652677279;0.11206579208374023;0.10306572914123535;NA
7;0.025;2.0;0.6352960102960103;0.6714905933429812;0.11715078353881836;0.10585212707519531;NA
8;0.025;2.0;0.6366414669454721;0.6594202898550725;0.11597156524658203;0.1009066104888916;NA
9;0.025;2.0;0.6388933569245617;0.6391304347826087;0.14395523071289062;0.13295435905456543;NA
10;0.025;2.0;0.6425928904616375;0.6057971014492753;0.12714529037475586;0.11464381217956543;NA
1;0.01;3;0.6518661518661519;0.6845151953690304;0.983623743057251;0.21857213973999023;[(1,), (-3, -1), (-1, 3)]
2;0.01;3;0.6558880308880309;0.6483357452966715;0.5904922485351562;0.19564247131347656;[(1,), (-3, -1), (-1, 3)]
3;0.01;3;0.6574967824967825;0.6338639652677279;0.8070123195648193;0.1842668056488037;[(1,), (-3, -1), (-1, 3)]
4;0.01;3;0.6536357786357787;0.6685962373371924;0.8585994243621826;0.2538180351257324;[(1,), (-3, -1), (-1, 3)]
5;0.01;3;0.6550836550836551;0.6555716353111433;0.805084228515625;0.19359707832336426;[(1,), (-3, -1), (-1, 3)]
6;0.01;3;0.6568532818532818;0.6396526772793053;0.9748115539550781;0.19582414627075195;[(1,), (-3, -1), (-1, 3)]
7;0.01;3;0.6518661518661519;0.6685962373371924;0.9388670921325684;0.18511390686035156;[(1,), (-10, -1), (-1, 10)]
8;0.01;3;0.6552999839150716;0.6536231884057971;0.8313190937042236;0.18851518630981445;[(1,), (-3, -1), (-1, 3)]
9;0.01;3;0.6548174360624095;0.6579710144927536;0.8418116569519043;0.19422221183776855;[(1,), (-3, -1), (-1, 3)]
10;0.01;3;0.6588386681679267;0.6217391304347826;0.4873952865600586;0.20258641242980957;[(1,), (-3, -1), (-1, 3)]
1;0.005;5;0.6668275418275419;0.6888567293777135;15.217206954956055;1.630657434463501;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
2;0.005;5;0.6682754182754183;0.6758321273516642;13.649388313293457;1.4408349990844727;[(1,), (-7, -1), (-3, -1, 7), (-12, -1, 3, 7), (-1, 3, 7, 12)]
3;0.005;5;0.6727799227799228;0.6353111432706223;13.010096788406372;1.1343185901641846;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
4;0.005;5;0.6676319176319176;0.6700434153400868;13.917749404907227;1.256143569946289;[(1,), (-7, -1), (-1, 7, 12), (-12, -10, -1, 7), (-12, -1, 7, 10)]
5;0.005;4.0;0.6640926640926641;0.6454413892908828;15.605126857757568;0.11172962188720703;NA
6;0.005;5;0.671975546975547;0.6425470332850941;17.54746389389038;1.6101484298706055;[(1,), (-7, -1), (-3, -1, 7), (-12, -1, 3, 7), (-1, 3, 7, 12)]
